sentence,meaning,word
Ne prečkaj te zebre ne da bi pogledal promet.,prehod_za_pesce,zebra
Poćakaj me pred zebro da se dobiva.,prehod_za_pesce,zebra
Cesta je tako umazana da se zebra skoraj ne vidi.,prehod_za_pesce,zebra
Ta zebra je pobarvana belo.,prehod_za_pesce,zebra
Nisem opazil zebro na cesti.,prehod_za_pesce,zebra
Na moji ulici ni nobene zebro.,prehod_za_pesce,zebra
Ležeči policaj pred nami ima zebro.,prehod_za_pesce,zebra
Stop zebra na cestišču.,prehod_za_pesce,zebra
Lebdeča prehoda za pešce lahko jim rečemo tudi 3D zebre.,prehod_za_pesce,zebra
Poleg tega so zebre tudi števec ki beleži število vozil.,prehod_za_pesce,zebra
Ne jem mesa zebre.,zival,zebra
Na kmetiji smo obiskali zebro.,zival,zebra
Zebra je ogrožena.,zival,zebra
Ko smo obiskali živalski vrt je bila zebra ena od novih vrst.,zival,zebra
Namesto konja je jezdila zebro.,zival,zebra
Zebra spada v skupino sesalcev.,zival,zebra
Kupila je obleko ki je imela isti vzorec kot zebra.,zival,zebra
Obstajajo tri različne vrste zebre.,zival,zebra
Kaj morate vedeti o zebri.,zival,zebra
Druga metoda obrambe zebre leži v dejstvu.,zival,zebra
